influenza_num,ave_C,min_C,max_C,ave_ws,ave_rh,ave_hpa,daily_precipitation,SO2,NO2,CO,PM2_5,PM10,O38h,AQI
560,29.1,23.8,35.1,3.9,41,957.9,0.0,14.0,30.0,0.94,42.0,85.0,103.0,76.0
421,26.6,22.4,32.4,2.4,54,958.6,0.0,16.0,35.0,1.009,35.0,69.0,87.0,60.0
468,27.8,21.2,34.2,2.0,47,957.2,0.0,17.0,37.0,1.119,32.0,71.0,126.0,100.0
349,26.1,20.9,32.9,3.9,58,956.7,0.0,14.0,25.0,1.161,68.0,109.0,117.0,92.0
393,18.1,16.8,20.9,3.7,88,964.9,24.3,13.0,25.0,1.009,10.0,20.0,42.0,32.0
502,20.1,16.1,27.5,1.3,66,967.0,0.0,18.0,31.0,1.04,19.0,46.0,73.0,49.0
385,21.4,15.1,28.3,2.2,52,964.6,0.0,25.0,35.0,0.995,22.0,50.0,97.0,76.0
299,24.5,16.0,31.9,3.0,42,959.9,0.0,18.0,41.0,1.034,33.0,65.0,98.0,76.0
337,27.7,20.7,34.1,3.9,40,956.4,0.0,18.0,22.0,0.913,25.0,57.0,80.0,54.0
371,27.2,23.2,30.4,2.8,46,957.1,0.0,18.0,21.0,0.951,39.0,70.0,82.0,66.0
293,29.1,22.6,35.4,3.4,46,955.6,0.0,18.0,24.0,0.989,51.0,87.0,92.0,85.0
384,29.1,24.5,32.7,2.9,50,956.2,0.0,20.0,33.0,1.132,63.0,113.0,109.0,85.0
437,30.5,25.1,36.7,2.0,53,952.5,0.0,28.0,42.0,1.227,68.0,127.0,145.0,140.0
392,32.4,28.6,37.0,2.6,53,949.4,0.0,18.0,35.0,1.357,84.0,140.0,168.0,199.0
449,29.3,25.9,33.1,5.7,59,951.9,0.0,14.0,33.0,1.76,119.0,182.0,143.0,156.0
385,26.7,24.0,31.6,4.6,57,956.0,0.5,15.0,37.0,1.378,78.0,122.0,105.0,104.0
437,23.4,21.7,26.3,2.6,75,962.1,0.8,13.0,28.0,0.868,12.0,36.0,58.0,44.0
302,25.7,21.3,32.0,1.7,71,960.6,1.4,13.0,34.0,1.002,23.0,48.0,97.0,82.0
383,27.8,23.7,32.3,1.8,55,958.2,0.0,15.0,47.0,1.097,54.0,105.0,124.0,91.0
601,26.5,24.0,29.8,1.9,65,956.5,0.0,15.0,52.0,1.293,58.0,111.0,71.0,81.0
434,28.5,22.1,36.2,1.9,54,955.4,0.0,20.0,52.0,1.199,34.0,84.0,132.0,100.0
482,29.7,26.6,33.4,2.2,48,954.5,0.0,21.0,49.0,1.115,28.0,89.0,86.0,70.0
429,30.5,22.0,39.3,2.0,42,952.6,0.0,21.0,51.0,1.088,34.0,93.0,132.0,99.0
459,32.5,24.3,39.3,2.1,35,950.0,0.0,14.0,39.0,0.98,32.0,88.0,103.0,69.0
346,31.8,26.5,37.2,4.4,41,951.7,0.0,11.0,19.0,0.884,27.0,67.0,86.0,59.0
384,30.8,26.6,35.9,3.8,50,953.1,0.0,12.0,19.0,0.868,35.0,70.0,82.0,60.0
570,31.1,27.7,36.2,2.9,58,950.8,0.0,14.0,33.0,1.25,46.0,91.0,91.0,87.0
446,27.3,24.7,31.1,1.5,80,954.0,2.8,14.0,31.0,1.312,43.0,76.0,47.0,98.0
487,29.7,24.5,36.7,1.6,70,951.6,0.0,13.0,36.0,1.312,59.0,105.0,165.0,171.0
376,26.3,23.8,33.4,3.2,81,951.6,8.6,14.0,33.0,1.208,31.0,57.0,39.0,54.0
454,29.1,24.1,36.5,2.5,67,953.1,0.0,19.0,39.0,1.234,35.0,73.0,146.0,140.0
267,30.2,24.9,35.5,4.2,63,953.0,0.0,17.0,45.0,1.391,72.0,128.0,163.0,174.0
347,30.9,26.5,36.6,4.1,61,951.7,0.0,16.0,39.0,1.35,72.0,120.0,151.0,141.0
442,29.8,27.5,33.5,2.3,60,953.0,0.0,24.0,41.0,1.349,46.0,113.0,92.0,89.0
490,26.9,22.0,31.1,2.1,69,953.0,2.4,16.0,25.0,1.23,22.0,47.0,105.0,80.0
420,26.2,21.1,29.4,3.1,64,955.6,0.0,14.0,22.0,1.133,12.0,33.0,79.0,57.0
361,27.8,23.6,33.0,2.4,62,958.1,0.0,16.0,29.0,1.211,26.0,58.0,133.0,130.0
434,28.1,25.4,33.6,3.5,74,957.9,0.2,14.0,30.0,1.463,57.0,97.0,141.0,150.0
263,25.6,23.5,29.2,2.8,87,958.5,33.0,12.0,23.0,1.618,51.0,79.0,94.0,85.0
376,27.2,24.5,31.1,3.7,78,956.4,0.0,11.0,29.0,2.217,95.0,154.0,112.0,125.0
504,25.8,23.9,29.7,3.0,77,955.5,0.1,17.0,41.0,1.53,76.0,131.0,57.0,102.0
433,27.1,21.2,33.1,2.5,68,956.4,0.0,19.0,45.0,1.228,28.0,65.0,107.0,116.0
525,26.0,24.6,30.3,2.5,78,955.7,1.5,14.0,50.0,1.372,57.0,97.0,56.0,78.0
399,23.5,22.6,26.0,2.3,92,956.4,18.8,13.0,33.0,1.265,26.0,47.0,56.0,47.0
435,25.4,22.5,29.2,1.1,79,957.7,0.0,15.0,45.0,1.482,39.0,91.0,88.0,80.0
253,27.7,22.8,32.3,1.8,69,956.7,0.0,16.0,48.0,1.445,61.0,107.0,142.0,120.0
278,27.1,24.5,30.1,4.7,75,955.1,0.0,13.0,34.0,1.556,80.0,130.0,95.0,107.0
471,23.8,22.3,26.3,2.3,92,954.6,27.2,14.0,31.0,1.392,33.0,61.0,44.0,56.0
